Q3,Q4,Q5,Q6,Q7_Part_1,Q7_Part_2,Q7_Part_3,Q7_Part_4,Q7_Part_5,Q7_Part_6,Q7_Part_7,Q7_Part_8,Q7_Part_9,Q7_Part_10,Q7_Part_11,Q7_Part_12,Q7_OTHER,Q8,Q17_Part_1,Q17_Part_2,Q17_Part_3,Q17_Part_4,Q17_Part_5,Q17_Part_6,Q17_Part_7,Q17_Part_8,Q17_Part_9,Q17_Part_10,Q17_Part_11,Q17_OTHER,Q24,lower,higher
Canada,Master’s degree,Product/Project Manager,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,125000-149999,125000.0,149999.0
South Africa,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,10000-14999,10000.0,14999.0
United States of America,Master’s degree,Software Engineer,20+ years,Python,,,C,C++,,,,,,,,Other,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,150000-199999,150000.0,199999.0
United States of America,Master’s degree,Student,1-2 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,,,
India,Bachelor’s degree,Student,3-5 years,Python,,,C,C++,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
Egypt,Bachelor’s degree,Student,1-2 years,Python,,,,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
Netherlands,Bachelor’s degree,Software Engineer,10-20 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,,,,,60000-69999,60000.0,69999.0
Russia,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python,,,,,,,,,Bash,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,Recurrent Neural Networks,,,,10000-14999,10000.0,14999.0
Pakistan,Master’s degree,Data Analyst,5-10 years,Python,R,SQL,,,,Javascript,,,,,,Other,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,Other,15000-19999,15000.0,19999.0
India,Bachelor’s degree,Student,3-5 years,Python,,,C,C++,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,,,
Other,Doctoral degree,Machine Learning Engineer,10-20 years,Python,,,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,10000-14999,10000.0,14999.0
India,Bachelor’s degree,Student,< 1 years,Python,,SQL,C,C++,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,Evolutionary Approaches,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,,,
Nepal,Bachelor’s degree,Student,3-5 years,Python,,SQL,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,,,
South Korea,Master’s degree,Currently not employed,5-10 years,Python,R,,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,,,
India,Bachelor’s degree,Data Scientist,3-5 years,Python,,,C,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,500000-600000,500000.0,600000.0
United States of America,Master’s degree,Student,3-5 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,,"Transformer Networks (BERT, gpt-3, etc)",,,,,
India,Master’s degree,Other,10-20 years,,,SQL,C,C++,Java,,,,,MATLAB,,,Java,,Decision Trees or Random Forests,,,Evolutionary Approaches,,,,,,,,10000-14999,10000.0,14999.0
Poland,Master’s degree,Currently not employed,1-2 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,,,
India,Professional degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,Master’s degree,Data Scientist,5-10 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,,,
Ukraine,Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,60000-69999,60000.0,69999.0
Belgium,Master’s degree,Data Analyst,1-2 years,,,,,,,,,,,,None,,Python,,,,,,,,,,,,,,,
United States of America,Master’s degree,Other,< 1 years,,,,,,,,,,,,None,,Python,,,,,,,,,,,,,125000-149999,125000.0,149999.0
United States of America,Master’s degree,Software Engineer,10-20 years,Python,,SQL,C,C++,,,,,Bash,,,Other,Python,,,,,,,,,,,,,300000-500000,300000.0,500000.0
Germany,Doctoral degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Bachelor’s degree,Software Engineer,1-2 years,,,,,C++,,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,Other,,,
Taiwan,Master’s degree,Software Engineer,5-10 years,Python,,SQL,C,,,,,,,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,25000-29999,25000.0,29999.0
Brazil,Master’s degree,Student,1-2 years,Python,,,,C++,,,,,,MATLAB,,,C++,,,,,,,,,,,,,,,
United States of America,Doctoral degree,Data Analyst,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,Recurrent Neural Networks,,,,70000-79999,70000.0,79999.0
India,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,10000-14999,10000.0,14999.0
Other,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python,,SQL,,,Java,Javascript,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,,,,,,,
Nigeria,Doctoral degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,C,C++,,,,,,,,,C++,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,,,
Germany,Doctoral degree,Research Scientist,10-20 years,Python,R,,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,60000-69999,60000.0,69999.0
China,Master’s degree,Currently not employed,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
India,Professional degree,Software Engineer,10-20 years,Python,,,,,Java,,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,80000-89999,80000.0,89999.0
Taiwan,Master’s degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
United States of America,Master’s degree,Machine Learning Engineer,20+ years,Python,R,SQL,,,,,,,Bash,,,,C,,,,,,,,,,,,,,,
Taiwan,Master’s degree,Other,3-5 years,Python,,,C,,,,,,,MATLAB,,,Python,,,,,,,,,,,,Other,25000-29999,25000.0,29999.0
India,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,,,
Other,Doctoral degree,Other,5-10 years,,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,7500-9999,7500.0,9999.0
Spain,Master’s degree,Software Engineer,1-2 years,,R,SQL,,,,,,,Bash,,,,R,,,,,,,,,,,,,,,
Singapore,Bachelor’s degree,Other,5-10 years,Python,,,,,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
Russia,Master’s degree,Machine Learning Engineer,3-5 years,Python,,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,Generative Adversarial Networks,,,,Other,15000-19999,15000.0,19999.0
India,Master’s degree,Other,< 1 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,,,,,,,,,,,15000-19999,15000.0,19999.0
United Arab Emirates,Master’s degree,Research Scientist,5-10 years,Python,,,,C++,,,,,,,,,Python,,,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,80000-89999,80000.0,89999.0
India,Bachelor’s degree,Software Engineer,3-5 years,Python,,SQL,,,,Javascript,,,,,,,Python,,,,,,,,,,,,,,,
Other,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,,C++,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,,,
Spain,Master’s degree,Other,< 1 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,Other,,,
India,No formal education past high school,Student,1-2 years,Python,,SQL,C,C++,,,,,,,,,Python,,,,,,,,,,,,,,,
Colombia,Master’s degree,Data Scientist,10-20 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,Recurrent Neural Networks,,,,40000-49999,40000.0,49999.0
India,Bachelor’s degree,Currently not employed,< 1 years,Python,,SQL,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,,,
Mexico,Bachelor’s degree,Student,1-2 years,Python,R,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Canada,Master’s degree,Data Scientist,10-20 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,Evolutionary Approaches,,,,,,,,80000-89999,80000.0,89999.0
India,Bachelor’s degree,Data Analyst,3-5 years,Python,,SQL,,C++,,Javascript,,,,MATLAB,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,10000-14999,10000.0,14999.0
India,Master’s degree,Currently not employed,1-2 years,Python,,,C,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
India,Master’s degree,Other,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,30000-39999,30000.0,39999.0
Other,Doctoral degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,Master’s degree,Machine Learning Engineer,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,,,,15000-19999,15000.0,19999.0
Poland,Master’s degree,Machine Learning Engineer,3-5 years,Python,,,,,,,,,,,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,,,
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,10-20 years,Python,,,,,,,,,,,,Other,R,,,,,,,,,,,None,,90000-99999,90000.0,99999.0
Other,Bachelor’s degree,Software Engineer,5-10 years,Python,,,,,,,,Swift,,,,,Python,,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,Other,10000-14999,10000.0,14999.0
India,Bachelor’s degree,Student,1-2 years,Python,,SQL,C,C++,Java,Javascript,,,,,,Other,Python,Linear or Logistic Regression,,,Bayesian Approaches,,,,,Recurrent Neural Networks,,,,,,
United States of America,Bachelor’s degree,Other,1-2 years,Python,R,SQL,,,,,Julia,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,50000-59999,50000.0,59999.0
France,No formal education past high school,Currently not employed,3-5 years,Python,,,,,,,Julia,,Bash,,,,Other,,,,,,,,,,,,,,,
Argentina,Doctoral degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Mexico,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,7500-9999,7500.0,9999.0
United States of America,Doctoral degree,Student,1-2 years,,R,,,,,,,,,,,,MATLAB,,,,,,,,,,,,,,,
Viet Nam,Bachelor’s degree,Student,3-5 years,,,,C,,Java,,,,,,,,C,,,,,,,,,,,,,,,
India,Professional degree,Currently not employed,< 1 years,Python,,,C,,Java,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,,,
Other,Master’s degree,Data Analyst,< 1 years,Python,,,,,,,,,,MATLAB,,,Python,,,,,,,,,,,,,,,
United States of America,Master’s degree,Data Scientist,5-10 years,Python,R,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,,,,,,,,,,,,100000-124999,100000.0,124999.0
Ghana,I prefer not to answer,Student,1-2 years,Python,,,,,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,,,
Russia,Doctoral degree,Research Scientist,10-20 years,Python,,,,,,Javascript,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,15000-19999,15000.0,19999.0
Japan,Master’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Doctoral degree,Data Scientist,10-20 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",,,,,,,250000-299999,250000.0,299999.0
India,Bachelor’s degree,Machine Learning Engineer,< 1 years,Python,,,C,C++,,,,Swift,,,,Other,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,,,
Poland,Master’s degree,Software Engineer,3-5 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,15000-19999,15000.0,19999.0
Ghana,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python,,SQL,,,,,,,,,,,SQL,,,,,,,,,,,,,,,
Nigeria,Bachelor’s degree,Student,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,,,
Ireland,No formal education past high school,Student,5-10 years,Python,,,,,,Javascript,,,,,,,Python,,,,,Evolutionary Approaches,,Convolutional Neural Networks,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Doctoral degree,Research Scientist,10-20 years,Python,R,SQL,,,Java,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,"Transformer Networks (BERT, gpt-3, etc)",,,60000-69999,60000.0,69999.0
Ghana,Bachelor’s degree,Student,5-10 years,Python,,,,,,Javascript,,,,,,,R,,,,,,,,,,,,,,,
India,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
Canada,Master’s degree,Data Scientist,5-10 years,Python,,SQL,,,,,,,,,,Other,Other,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,80000-89999,80000.0,89999.0
Nigeria,Bachelor’s degree,Software Engineer,10-20 years,Python,,SQL,,,Java,Javascript,Julia,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,60000-69999,60000.0,69999.0
India,Bachelor’s degree,Data Analyst,1-2 years,Python,R,,,,,,,,,,,,Python,,,,,,,,,,,,,5000-7499,5000.0,7499.0
Other,Master’s degree,Product/Project Manager,< 1 years,Python,,,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,30000-39999,30000.0,39999.0
Philippines,Bachelor’s degree,Data Analyst,< 1 years,,,SQL,,,,,,,,,,,SQL,,,,,,,,,,,,,,,
United States of America,Master’s degree,Software Engineer,10-20 years,Python,,SQL,,,Java,Javascript,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,Evolutionary Approaches,,,,Recurrent Neural Networks,,,,60000-69999,60000.0,69999.0
France,I prefer not to answer,Currently not employed,20+ years,Python,,SQL,C,C++,Java,Javascript,,,Bash,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
France,Master’s degree,Research Scientist,3-5 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,50000-59999,50000.0,59999.0
China,Bachelor’s degree,Business Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Doctoral degree,Software Engineer,20+ years,,,SQL,,C++,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,,,,50000-59999,50000.0,59999.0
Morocco,Master’s degree,Data Scientist,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
Spain,Doctoral degree,Currently not employed,5-10 years,Python,R,,,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",,,,,,,,,
India,Master’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Master’s degree,Student,3-5 years,Python,,SQL,C,C++,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,,,
Belgium,Doctoral degree,Research Scientist,3-5 years,Python,,,,,,,,,Bash,,,Other,Python,,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,30000-39999,30000.0,39999.0
Germany,Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,50000-59999,50000.0,59999.0
Egypt,I prefer not to answer,Machine Learning Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Master’s degree,Data Analyst,5-10 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,40000-49999,40000.0,49999.0
India,Bachelor’s degree,Currently not employed,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,,,
India,Bachelor’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Bachelor’s degree,Data Scientist,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,5000-7499,5000.0,7499.0
Russia,Master’s degree,Software Engineer,5-10 years,Python,,SQL,,,,,,,Bash,,,Other,Python,,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,15000-19999,15000.0,19999.0
United States of America,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Python,,SQL,C,C++,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,,,
United States of America,Bachelor’s degree,Data Analyst,3-5 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,,,
Spain,Some college/university study without earning a bachelor’s degree,Data Scientist,20+ years,Python,R,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,100000-124999,100000.0,124999.0
Spain,Doctoral degree,Data Scientist,1-2 years,Python,R,,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,,,
India,No formal education past high school,Currently not employed,20+ years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,,,,,,,
India,Doctoral degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,,,
Spain,Doctoral degree,Research Scientist,20+ years,Python,,SQL,C,C++,Java,,,,Bash,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,70000-79999,70000.0,79999.0
United States of America,Master’s degree,Data Analyst,3-5 years,,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,80000-89999,80000.0,89999.0
India,Bachelor’s degree,Other,< 1 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,10000-14999,10000.0,14999.0
