Q3,Q4,Q5,Q6,Q7_Part_1,Q7_Part_2,Q7_Part_3,Q7_Part_4,Q7_Part_5,Q7_Part_6,Q7_Part_7,Q7_Part_8,Q7_Part_9,Q7_Part_10,Q7_Part_11,Q7_Part_12,Q7_OTHER,Q8,Q17_Part_1,Q17_Part_2,Q17_Part_3,Q17_Part_4,Q17_Part_5,Q17_Part_6,Q17_Part_7,Q17_Part_8,Q17_Part_9,Q17_Part_10,Q17_Part_11,Q17_OTHER,Q24
Russia,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python,,,,,,,,,Bash,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,Recurrent Neural Networks,,,,"10,000-14,999"
Pakistan,Master’s degree,Data Analyst,5-10 years,Python,R,SQL,,,,Javascript,,,,,,Other,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,Other,"15,000-19,999"
India,Bachelor’s degree,Student,3-5 years,Python,,,C,C++,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,
Other,Doctoral degree,Machine Learning Engineer,10-20 years,Python,,,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"10,000-14,999"
India,Bachelor’s degree,Student,< 1 years,Python,,SQL,C,C++,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,Evolutionary Approaches,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,
Nepal,Bachelor’s degree,Student,3-5 years,Python,,SQL,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,
Indonesia,Master’s degree,Data Scientist,3-5 years,Python,R,SQL,,,Java,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"4,000-4,999"
South Korea,Master’s degree,Currently not employed,5-10 years,Python,R,,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,
India,Bachelor’s degree,Data Scientist,3-5 years,Python,,,C,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"> $500,000"
United States of America,Master’s degree,Student,3-5 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,,"Transformer Networks (BERT, gpt-3, etc)",,,
Indonesia,Doctoral degree,Data Analyst,5-10 years,,,,,C++,,,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",,,,,,,$0-999
India,Master’s degree,Other,10-20 years,,,SQL,C,C++,Java,,,,,MATLAB,,,Java,,Decision Trees or Random Forests,,,Evolutionary Approaches,,,,,,,,"10,000-14,999"
Poland,Master’s degree,Currently not employed,1-2 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,
Belarus,Master’s degree,Machine Learning Engineer,1-2 years,Python,,,,,,,,,,,,,MATLAB,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,"1,000-1,999"
India,Doctoral degree,Other,3-5 years,Python,,,C,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,$0-999
India,Professional degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Bachelor’s degree,Software Engineer,1-2 years,Python,,SQL,,,Java,Javascript,,,,,,Other,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,$0-999
Tunisia,Master’s degree,Data Scientist,5-10 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,
Ukraine,Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"60,000-69,999"
Belgium,Master’s degree,Data Analyst,1-2 years,,,,,,,,,,,,None,,Python,,,,,,,,,,,,,
United States of America,Master’s degree,Other,< 1 years,,,,,,,,,,,,None,,Python,,,,,,,,,,,,,"125,000-149,999"
United States of America,Master’s degree,Software Engineer,10-20 years,Python,,SQL,C,C++,,,,,Bash,,,Other,Python,,,,,,,,,,,,,"300,000-500,000"
Germany,Doctoral degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Bachelor’s degree,Software Engineer,1-2 years,,,,,C++,,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,Other,
Taiwan,Master’s degree,Software Engineer,5-10 years,Python,,SQL,C,,,,,,,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"25,000-29,999"
Brazil,Master’s degree,Student,1-2 years,Python,,,,C++,,,,,,MATLAB,,,C++,,,,,,,,,,,,,
United States of America,Doctoral degree,Data Analyst,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,Recurrent Neural Networks,,,,"70,000-79,999"
India,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"10,000-14,999"
Indonesia,Bachelor’s degree,Data Scientist,< 1 years,,R,SQL,C,,,Javascript,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,$0-999
Other,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python,,SQL,,,Java,Javascript,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,,,,,
Nigeria,Doctoral degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,C,C++,,,,,,,,,C++,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,
Germany,Doctoral degree,Research Scientist,10-20 years,Python,R,,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"60,000-69,999"
China,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,$0-999
China,Master’s degree,Currently not employed,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,
Italy,Doctoral degree,Research Scientist,1-2 years,Python,,SQL,C,,,,,,,,,,R,,,,Bayesian Approaches,,,,,,,,,$0-999
India,Professional degree,Software Engineer,10-20 years,Python,,,,,Java,,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"80,000-89,999"
Taiwan,Master’s degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,
United States of America,Master’s degree,Machine Learning Engineer,20+ years,Python,R,SQL,,,,,,,Bash,,,,C,,,,,,,,,,,,,
Taiwan,Master’s degree,Other,3-5 years,Python,,,C,,,,,,,MATLAB,,,Python,,,,,,,,,,,,Other,"25,000-29,999"
India,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,
Other,Bachelor’s degree,Data Analyst,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,$0-999
Other,Doctoral degree,Other,5-10 years,,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"7,500-9,999"
Spain,Master’s degree,Software Engineer,1-2 years,,R,SQL,,,,,,,Bash,,,,R,,,,,,,,,,,,,
Singapore,Bachelor’s degree,Other,5-10 years,Python,,,,,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
India,Bachelor’s degree,Data Scientist,< 1 years,Python,R,SQL,C,,Java,,,,,,,,R,,,,,,,,,,,,,$0-999
Russia,Master’s degree,Machine Learning Engineer,3-5 years,Python,,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,Generative Adversarial Networks,,,,Other,"15,000-19,999"
India,Master’s degree,Other,< 1 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,,,,,,,,,,,"15,000-19,999"
Other,Professional degree,Data Analyst,1-2 years,Python,,SQL,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,$0-999
Other,Doctoral degree,Other,< 1 years,Python,,,,,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,$0-999
United Arab Emirates,Master’s degree,Research Scientist,5-10 years,Python,,,,C++,,,,,,,,,Python,,,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"80,000-89,999"
India,Bachelor’s degree,Software Engineer,3-5 years,Python,,SQL,,,,Javascript,,,,,,,Python,,,,,,,,,,,,,
Other,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,,C++,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,
Spain,Master’s degree,Other,< 1 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,Other,
India,No formal education past high school,Student,1-2 years,Python,,SQL,C,C++,,,,,,,,,Python,,,,,,,,,,,,,
Colombia,Master’s degree,Data Scientist,10-20 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,Recurrent Neural Networks,,,,"40,000-49,999"
India,Bachelor’s degree,Currently not employed,< 1 years,Python,,SQL,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
Mexico,Bachelor’s degree,Student,1-2 years,Python,R,,,,,,,,,,,,Python,,,,,,,,,,,,,
Canada,Master’s degree,Data Scientist,10-20 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,Evolutionary Approaches,,,,,,,,"80,000-89,999"
India,Bachelor’s degree,Data Analyst,3-5 years,Python,,SQL,,C++,,Javascript,,,,MATLAB,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,"10,000-14,999"
India,I prefer not to answer,Machine Learning Engineer,1-2 years,Python,,,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,$0-999
India,Master’s degree,Currently not employed,1-2 years,Python,,,C,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,
India,Master’s degree,Other,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,"30,000-39,999"
Other,Doctoral degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,Master’s degree,Machine Learning Engineer,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,,,,"15,000-19,999"
Poland,Master’s degree,Machine Learning Engineer,3-5 years,Python,,,,,,,,,,,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,10-20 years,Python,,,,,,,,,,,,Other,R,,,,,,,,,,,None,,"90,000-99,999"
Other,Bachelor’s degree,Software Engineer,5-10 years,Python,,,,,,,,Swift,,,,,Python,,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,Other,"10,000-14,999"
Egypt,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python,,,,C++,,,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,,,,,$0-999
India,Bachelor’s degree,Student,1-2 years,Python,,SQL,C,C++,Java,Javascript,,,,,,Other,Python,Linear or Logistic Regression,,,Bayesian Approaches,,,,,Recurrent Neural Networks,,,,
United States of America,Bachelor’s degree,Other,1-2 years,Python,R,SQL,,,,,Julia,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,"50,000-59,999"
France,No formal education past high school,Currently not employed,3-5 years,Python,,,,,,,Julia,,Bash,,,,Other,,,,,,,,,,,,,
India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python,,,C,C++,Java,,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,$0-999
Brazil,Professional degree,Business Analyst,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,$0-999
Argentina,Doctoral degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,
Mexico,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"7,500-9,999"
Egypt,Master’s degree,Data Scientist,5-10 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,$0-999
United States of America,Doctoral degree,Student,1-2 years,,R,,,,,,,,,,,,MATLAB,,,,,,,,,,,,,
Viet Nam,Bachelor’s degree,Student,3-5 years,,,,C,,Java,,,,,,,,C,,,,,,,,,,,,,
India,Professional degree,Currently not employed,< 1 years,Python,,,C,,Java,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
Other,Master’s degree,Data Analyst,< 1 years,Python,,,,,,,,,,MATLAB,,,Python,,,,,,,,,,,,,
United States of America,Master’s degree,Data Scientist,5-10 years,Python,R,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,,,,,,,,,,,,"100,000-124,999"
Ghana,I prefer not to answer,Student,1-2 years,Python,,,,,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
Russia,Doctoral degree,Research Scientist,10-20 years,Python,,,,,,Javascript,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"15,000-19,999"
Japan,Master’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Doctoral degree,Data Scientist,10-20 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",,,,,,,"250,000-299,999"
India,Bachelor’s degree,Machine Learning Engineer,< 1 years,Python,,,C,C++,,,,Swift,,,,Other,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,
Poland,Master’s degree,Software Engineer,3-5 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"15,000-19,999"
Ghana,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,
India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python,,SQL,,,,,,,,,,,SQL,,,,,,,,,,,,,
Nigeria,Bachelor’s degree,Student,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,
Ireland,No formal education past high school,Student,5-10 years,Python,,,,,,Javascript,,,,,,,Python,,,,,Evolutionary Approaches,,Convolutional Neural Networks,,,,,,
United States of America,Master’s degree,Machine Learning Engineer,5-10 years,Python,,,,,,,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",,,,,,,$0-999
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Doctoral degree,Research Scientist,10-20 years,Python,R,SQL,,,Java,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,"Transformer Networks (BERT, gpt-3, etc)",,,"60,000-69,999"
Ghana,Bachelor’s degree,Student,5-10 years,Python,,,,,,Javascript,,,,,,,R,,,,,,,,,,,,,
Netherlands,Master’s degree,Machine Learning Engineer,3-5 years,Python,,,,C++,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,$0-999
India,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
Canada,Master’s degree,Data Scientist,5-10 years,Python,,SQL,,,,,,,,,,Other,Other,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"80,000-89,999"
Nigeria,Bachelor’s degree,Software Engineer,10-20 years,Python,,SQL,,,Java,Javascript,Julia,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"60,000-69,999"
India,Bachelor’s degree,Data Analyst,1-2 years,Python,R,,,,,,,,,,,,Python,,,,,,,,,,,,,"5,000-7,499"
Other,Master’s degree,Product/Project Manager,< 1 years,Python,,,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"30,000-39,999"
Philippines,Bachelor’s degree,Data Analyst,< 1 years,,,SQL,,,,,,,,,,,SQL,,,,,,,,,,,,,
