Q3,Q4,Q5,Q6,prog_lang,selected_lang
India,Bachelor’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
United States of America,Doctoral degree,Other,20+ years,Q7_Part_1,Python
India,Master’s degree,Student,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Product/Project Manager,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Nigeria,Some college/university study without earning a bachelor’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
Indonesia,Bachelor’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
India,Master’s degree,Data Scientist,< 1 years,Q7_Part_1,Python
Germany,Bachelor’s degree,Student,10-20 years,Q7_Part_1,Python
Taiwan,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Colombia,Professional degree,Data Analyst,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
Nepal,Master’s degree,Currently not employed,1-2 years,Q7_Part_1,Python
Other,Bachelor’s degree,Student,5-10 years,Q7_Part_1,Python
United States of America,Master’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
India,Master’s degree,Student,< 1 years,Q7_Part_1,Python
Japan,Master’s degree,Product/Project Manager,< 1 years,Q7_Part_1,Python
United States of America,Master’s degree,Student,< 1 years,Q7_Part_1,Python
Republic of Korea,Professional degree,Data Analyst,5-10 years,Q7_Part_1,Python
Russia,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Australia,Master’s degree,Student,1-2 years,Q7_Part_1,Python
United States of America,Doctoral degree,Other,3-5 years,Q7_Part_1,Python
Chile,Master’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
Saudi Arabia,Professional degree,Data Scientist,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Machine Learning Engineer,3-5 years,Q7_Part_1,Python
United States of America,Master’s degree,Statistician,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
United States of America,Master’s degree,Student,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Q7_Part_1,Python
India,Doctoral degree,Currently not employed,< 1 years,Q7_Part_1,Python
Canada,Master’s degree,Student,1-2 years,Q7_Part_1,Python
Japan,Master’s degree,Product/Project Manager,20+ years,Q7_Part_1,Python
India,Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
Brazil,Bachelor’s degree,Software Engineer,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Machine Learning Engineer,3-5 years,Q7_Part_1,Python
Kenya,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
India,Master’s degree,Student,< 1 years,Q7_Part_1,Python
Italy,Master’s degree,Machine Learning Engineer,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Engineer,3-5 years,Q7_Part_1,Python
Spain,Master’s degree,Student,3-5 years,Q7_Part_1,Python
United States of America,Master’s degree,Statistician,10-20 years,Q7_Part_1,Python
Japan,Master’s degree,Research Scientist,1-2 years,Q7_Part_1,Python
United States of America,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
Russia,Master’s degree,Data Analyst,1-2 years,Q7_Part_1,Python
Other,Professional degree,Software Engineer,10-20 years,Q7_Part_1,Python
Turkey,Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
Germany,Doctoral degree,Business Analyst,20+ years,Q7_Part_1,Python
India,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_1,Python
India,Master’s degree,Student,< 1 years,Q7_Part_1,Python
United States of America,Master’s degree,Software Engineer,20+ years,Q7_Part_1,Python
United States of America,Master’s degree,Other,20+ years,Q7_Part_1,Python
India,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Japan,Bachelor’s degree,Student,5-10 years,Q7_Part_1,Python
India,Master’s degree,Other,5-10 years,Q7_Part_1,Python
South Korea,Bachelor’s degree,Currently not employed,1-2 years,Q7_Part_1,Python
India,Master’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
Mexico,Master’s degree,Data Analyst,< 1 years,Q7_Part_1,Python
China,Master’s degree,Student,3-5 years,Q7_Part_1,Python
United States of America,Master’s degree,Business Analyst,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Germany,Doctoral degree,Student,3-5 years,Q7_Part_1,Python
India,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Taiwan,Master’s degree,Other,< 1 years,Q7_Part_1,Python
"Iran, Islamic Republic of...",Master’s degree,Machine Learning Engineer,20+ years,Q7_Part_1,Python
Spain,Master’s degree,Data Engineer,5-10 years,Q7_Part_1,Python
Sweden,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
Spain,Doctoral degree,Other,10-20 years,Q7_Part_1,Python
Nigeria,Master’s degree,Currently not employed,5-10 years,Q7_Part_1,Python
Poland,Doctoral degree,Business Analyst,< 1 years,Q7_Part_1,Python
Tunisia,Master’s degree,Student,1-2 years,Q7_Part_1,Python
Netherlands,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
Pakistan,Master’s degree,Student,3-5 years,Q7_Part_1,Python
United States of America,Master’s degree,Product/Project Manager,20+ years,Q7_Part_1,Python
India,Master’s degree,Other,1-2 years,Q7_Part_1,Python
Canada,Master’s degree,Software Engineer,20+ years,Q7_Part_1,Python
France,Doctoral degree,Data Scientist,20+ years,Q7_Part_1,Python
India,Bachelor’s degree,Software Engineer,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
India,Master’s degree,Student,3-5 years,Q7_Part_1,Python
India,Master’s degree,Currently not employed,1-2 years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Data Scientist,10-20 years,Q7_Part_1,Python
Kenya,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Japan,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
India,Master’s degree,Student,1-2 years,Q7_Part_1,Python
Brazil,Master’s degree,Software Engineer,20+ years,Q7_Part_1,Python
Turkey,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
India,Master’s degree,Machine Learning Engineer,1-2 years,Q7_Part_1,Python
Other,Master’s degree,Software Engineer,5-10 years,Q7_Part_1,Python
China,Master’s degree,Student,3-5 years,Q7_Part_1,Python
Greece,Some college/university study without earning a bachelor’s degree,Product/Project Manager,3-5 years,Q7_Part_1,Python
Other,I prefer not to answer,Student,3-5 years,Q7_Part_1,Python
Other,Bachelor’s degree,Currently not employed,10-20 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Currently not employed,10-20 years,Q7_Part_1,Python
Taiwan,Doctoral degree,Research Scientist,10-20 years,Q7_Part_1,Python
India,Doctoral degree,Currently not employed,3-5 years,Q7_Part_1,Python
Australia,Bachelor’s degree,Other,< 1 years,Q7_Part_1,Python
United States of America,Doctoral degree,Research Scientist,10-20 years,Q7_Part_1,Python
India,Master’s degree,Student,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Russia,No formal education past high school,DBA/Database Engineer,1-2 years,Q7_Part_1,Python
United States of America,Master’s degree,Other,20+ years,Q7_Part_1,Python
Brazil,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Taiwan,Master’s degree,DBA/Database Engineer,10-20 years,Q7_Part_1,Python
United States of America,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,< 1 years,Q7_Part_1,Python
India,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
Mexico,Doctoral degree,Software Engineer,10-20 years,Q7_Part_1,Python
India,Master’s degree,Product/Project Manager,1-2 years,Q7_Part_1,Python
Other,Master’s degree,Other,1-2 years,Q7_Part_1,Python
Italy,Doctoral degree,Currently not employed,20+ years,Q7_Part_1,Python
China,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
Republic of Korea,Master’s degree,Student,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Analyst,3-5 years,Q7_Part_1,Python
India,Master’s degree,Student,3-5 years,Q7_Part_1,Python
India,Master’s degree,Student,5-10 years,Q7_Part_1,Python
Republic of Korea,Master’s degree,Product/Project Manager,< 1 years,Q7_Part_1,Python
France,Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
India,Master’s degree,Data Analyst,3-5 years,Q7_Part_1,Python
Kenya,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Other,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Scientist,10-20 years,Q7_Part_1,Python
United States of America,Doctoral degree,Research Scientist,20+ years,Q7_Part_1,Python
Bangladesh,Master’s degree,Research Scientist,< 1 years,Q7_Part_1,Python
Chile,Master’s degree,Machine Learning Engineer,< 1 years,Q7_Part_1,Python
United States of America,Master’s degree,Currently not employed,1-2 years,Q7_Part_1,Python
Turkey,I prefer not to answer,Student,1-2 years,Q7_Part_1,Python
United States of America,Doctoral degree,Machine Learning Engineer,20+ years,Q7_Part_1,Python
United States of America,Master’s degree,Business Analyst,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
Germany,Some college/university study without earning a bachelor’s degree,Data Engineer,20+ years,Q7_Part_1,Python
Egypt,Bachelor’s degree,Machine Learning Engineer,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Other,5-10 years,Q7_Part_1,Python
China,Master’s degree,Currently not employed,3-5 years,Q7_Part_1,Python
Colombia,Professional degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Japan,Bachelor’s degree,Machine Learning Engineer,20+ years,Q7_Part_1,Python
India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Q7_Part_1,Python
United States of America,Master’s degree,Student,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Other,< 1 years,Q7_Part_1,Python
India,Master’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
"Iran, Islamic Republic of...",Doctoral degree,Research Scientist,5-10 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,< 1 years,Q7_Part_1,Python
Japan,Master’s degree,Business Analyst,1-2 years,Q7_Part_1,Python
India,Master’s degree,Student,3-5 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Engineer,5-10 years,Q7_Part_1,Python
Ukraine,Some college/university study without earning a bachelor’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Currently not employed,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Scientist,< 1 years,Q7_Part_1,Python
Belarus,Bachelor’s degree,Software Engineer,5-10 years,Q7_Part_1,Python
United States of America,Master’s degree,Business Analyst,3-5 years,Q7_Part_1,Python
Philippines,Master’s degree,Data Engineer,1-2 years,Q7_Part_1,Python
Other,Master’s degree,Data Analyst,3-5 years,Q7_Part_1,Python
Japan,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
India,Master’s degree,Data Analyst,< 1 years,Q7_Part_1,Python
Australia,Bachelor’s degree,Statistician,20+ years,Q7_Part_1,Python
United States of America,Doctoral degree,Research Scientist,5-10 years,Q7_Part_1,Python
Nepal,Master’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Scientist,10-20 years,Q7_Part_1,Python
Ukraine,Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
Morocco,Master’s degree,Currently not employed,5-10 years,Q7_Part_1,Python
Brazil,Master’s degree,Business Analyst,< 1 years,Q7_Part_1,Python
India,Doctoral degree,Research Scientist,1-2 years,Q7_Part_1,Python
United States of America,Master’s degree,Product/Project Manager,20+ years,Q7_Part_1,Python
India,Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
India,Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
Taiwan,Bachelor’s degree,Software Engineer,20+ years,Q7_Part_1,Python
Ukraine,Professional degree,Data Scientist,20+ years,Q7_Part_1,Python
Kenya,Bachelor’s degree,Machine Learning Engineer,1-2 years,Q7_Part_1,Python
South Africa,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
Canada,Professional degree,Business Analyst,20+ years,Q7_Part_1,Python
Indonesia,Bachelor’s degree,Software Engineer,1-2 years,Q7_Part_1,Python
Russia,I prefer not to answer,Currently not employed,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Other,1-2 years,Q7_Part_1,Python
Other,I prefer not to answer,Data Scientist,5-10 years,Q7_Part_1,Python
India,Master’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
Nigeria,Master’s degree,Currently not employed,1-2 years,Q7_Part_1,Python
United States of America,Master’s degree,Machine Learning Engineer,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
India,Master’s degree,Student,3-5 years,Q7_Part_1,Python
Other,Master’s degree,Data Scientist,< 1 years,Q7_Part_1,Python
Germany,Master’s degree,Student,1-2 years,Q7_Part_1,Python
Peru,Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
"Iran, Islamic Republic of...",Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Machine Learning Engineer,< 1 years,Q7_Part_1,Python
South Korea,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Turkey,Bachelor’s degree,Other,< 1 years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Data Analyst,< 1 years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Data Engineer,20+ years,Q7_Part_1,Python
Italy,Master’s degree,Machine Learning Engineer,5-10 years,Q7_Part_1,Python
